Lap,Max Verstappen,Lewis Hamilton,Alex Albon,Valtteri Bottas,Sebastian Vettel
1,1:27.347,1:25.855,1:31.211,1:29.434,1:34.707
2,1:24.754,1:24.630,1:25.396,1:25.062,1:26.962
3,1:24.835,1:25.037,1:25.241,1:24.948,1:25.960
4,1:24.596,1:24.679,1:25.230,1:25.258,1:25.915
5,1:24.621,1:24.370,1:25.347,1:23.796,1:26.459
6,1:24.325,1:24.247,1:25.181,1:24.187,1:25.719
7,1:24.193,1:24.278,1:24.986,1:23.981,1:25.326
8,1:24.192,1:24.108,1:24.631,1:24.266,1:25.600
9,1:24.132,1:24.526,1:24.749,1:24.191,1:25.227
10,1:23.990,1:23.618,1:24.995,1:24.035,1:25.530
11,1:23.623,1:23.238,1:25.653,1:23.590,1:25.462
12,1:23.541,1:23.067,1:25.421,1:23.449,1:25.393
13,1:23.473,1:22.767,1:25.276,1:23.727,1:25.479
14,1:23.422,1:23.197,1:25.350,1:23.655,1:25.395
15,1:23.759,1:23.095,1:25.469,1:23.690,1:25.185
16,1:23.568,1:23.216,1:25.634,1:23.700,1:25.084
17,1:23.761,1:23.366,1:29.223,1:23.907,1:25.107
18,1:24.089,1:23.406,1:43.239,1:24.026,1:25.529
19,1:23.971,1:23.505,1:26.070,1:23.726,1:25.373
20,1:24.579,1:23.394,1:25.605,1:24.063,1:25.512
21,1:28.176,1:23.410,1:25.185,1:24.474,1:25.849
22,1:40.705,1:23.699,1:25.335,1:24.337,1:25.985
23,1:22.959,1:27.175,1:25.304,1:28.170,1:25.614
24,1:23.582,1:44.038,1:25.947,1:40.605,1:25.479
25,1:23.624,1:23.845,1:25.388,1:22.021,1:25.627
26,1:23.644,1:23.659,1:25.679,1:22.991,1:25.612
27,1:23.227,1:23.670,1:25.619,1:23.253,1:25.811
28,1:23.491,1:23.275,1:25.459,1:23.310,1:26.157
29,1:23.367,1:23.688,1:26.442,1:23.304,1:30.602
30,1:23.353,1:23.343,1:25.401,1:23.591,1:42.640
31,1:23.201,1:23.007,1:25.182,1:23.615,1:24.034
32,1:23.269,1:23.102,1:25.271,1:23.425,1:24.197
33,1:23.106,1:23.002,1:23.688,1:23.430,1:24.495
34,1:23.113,1:22.658,1:24.770,1:22.800,1:25.133
35,1:22.896,1:22.948,1:24.945,1:22.781,1:24.515
36,1:23.548,1:22.440,1:24.196,1:23.440,1:24.298
37,1:23.478,1:22.826,1:24.201,1:23.866,1:24.130
38,1:24.038,1:22.502,1:24.257,1:23.524,1:24.019
39,1:23.775,1:22.273,1:27.959,1:23.136,1:23.755
40,1:23.096,1:22.213,1:40.933,1:23.265,1:23.764
41,1:26.019,1:22.438,1:22.194,1:23.334,1:24.031
42,1:39.927,1:22.305,1:24.393,1:21.857,1:26.151
43,1:22.221,1:22.129,1:23.007,1:22.532,1:23.462
44,1:21.919,1:22.141,1:23.466,1:22.526,1:23.975
45,1:23.114,1:21.539,1:25.256,1:23.206,1:24.115
46,1:22.100,1:22.064,1:23.431,1:22.821,1:23.581
47,1:22.609,1:22.149,1:23.563,1:23.068,1:23.226
48,1:21.851,1:23.063,1:22.776,1:26.658,1:22.707
49,1:21.732,1:21.954,1:22.994,1:41.004,1:23.510
50,1:21.911,1:24.990,1:23.059,1:21.897,1:23.319
51,1:22.406,1:40.359,1:23.402,1:21.885,1:23.467
52,1:21.562,1:20.274,1:22.939,1:21.616,1:23.356
53,1:21.477,1:20.892,1:23.053,1:21.698,1:25.144
54,1:21.485,1:20.901,1:23.389,1:21.765,1:23.434
55,1:21.852,1:21.220,1:23.149,1:21.541,1:23.760
56,1:21.638,1:21.446,1:23.162,1:21.666,1:24.557
57,1:22.045,1:21.498,1:25.165,1:21.698,1:23.560
58,1:21.779,1:21.379,1:22.966,1:21.713,1:23.695
59,1:21.570,1:20.964,1:23.124,1:21.754,1:25.977
60,1:22.184,1:21.223,1:23.558,1:21.821,1:24.140
61,1:21.904,1:21.397,1:24.826,1:21.934,1:24.033
62,1:21.486,1:20.975,1:23.983,1:22.383,1:24.787
63,1:21.709,1:19.822,1:23.998,1:19.750,1:24.111
64,1:22.144,1:20.872,1:24.319,1:25.147,1:24.407
65,1:22.764,1:20.847,1:24.768,1:40.545,1:24.668
66,1:23.629,1:22.066,,1:18.183,